id,name,category,description,price,image
id,name,category,description,price,image
1,Aloo Tikki Burger,Burgers - Veg,Classic potato patty burger,45,
2,Veg Burger,Burgers - Veg,Standard vegetable patty burger,55,
3,Aloo Achari Burger,Burgers - Veg,Pickle-spiced potato patty burger,65,
4,BBQ Burger,Burgers - Veg,Barbecue flavored vegetable burger,65,
5,Makhani Burger,Burgers - Veg,Butter sauce flavored burger,65,
6,Cheesy Burger,Burgers - Veg,Vegetable patty with cheese,70,
7,Spicy Cheese Burger,Burgers - Veg,Spicy vegetable patty with cheese,75,
8,Double Cheese Burger,Burgers - Veg,Double layer of cheese with veg patty,85,
9,Paneer Burger,Burgers - Veg,Cottage cheese patty burger,85,
10,Paneer Tikka Burger,Burgers - Veg,Spiced cottage cheese patty burger,95,
11,Spicy Paneer Burger,Burgers - Veg,Spicy cottage cheese patty burger,115,
12,Double Egg Burger,Burgers - Non-Veg,Double egg patty burger,65,
13,Egg Cheese Burger,Burgers - Non-Veg,Egg patty with cheese,70,
14,Chicken Burger,Burgers - Non-Veg,Classic chicken patty burger,80,
15,Chicken Cheese Burger,Burgers - Non-Veg,Chicken patty with cheese,90,
16,Spicy Chicken Burger,Burgers - Non-Veg,Spicy chicken patty burger,95,
17,Chicken Tikka Burger,Burgers - Non-Veg,Tandoori spiced chicken burger,115,
18,Chicken Kabab Burger,Burgers - Non-Veg,Minced chicken kebab patty burger,115,
19,Double Chicken Burger,Burgers - Non-Veg,Double chicken patty burger,115,
20,Cheese Corn Pizza (Small),Pizza - Veg,Sweet golden corn kernels nestled in a bed of melted mozzarella cheese,155
21,Cheese Corn Pizza (Medium),Pizza - Veg,Sweet golden corn kernels nestled in a bed of melted mozzarella cheese,265
22,Cheese Corn Pizza (Large),Pizza - Veg,Sweet golden corn kernels nestled in a bed of melted mozzarella cheese,375
23,Onion Tomato Capsicum Pizza (Small),Pizza - Veg,A colorful medley of crisp onions rings juicy tomatoes and fresh bell peppers,155
24,Onion Tomato Capsicum Pizza (Medium),Pizza - Veg,A colorful medley of crisp onions rings juicy tomatoes and fresh bell peppers,265
25,Onion Tomato Capsicum Pizza (Large),Pizza - Veg,A colorful medley of crisp onions rings juicy tomatoes and fresh bell peppers,375
26,Cheese n Mushroom Pizza (Small),Pizza - Veg,Earthy sautéed mushrooms smothered in creamy mozzarella and cheddar blend,155
27,Cheese n Mushroom Pizza (Medium),Pizza - Veg,Earthy sautéed mushrooms smothered in creamy mozzarella and cheddar blend,265
28,Margretta Pizza (Small),Pizza - Veg,Classic Italian simplicity with premium mozzarella on a bed of herbed tomato sauce,135
29,Margretta Pizza (Medium),Pizza - Veg,Classic Italian simplicity with premium mozzarella on a bed of herbed tomato sauce,205
30,Margretta Pizza (Large),Pizza - Veg,Classic Italian simplicity with premium mozzarella on a bed of herbed tomato sauce,305
31,Paneer Makhani Pizza (Small),Pizza - Veg,Succulent paneer cubes in rich butter masala sauce with colorful capsicum,205
